Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
PAPSE RA proposal to WB,World Bank,Grant Proposal,PAPSE,11/21/2018,0,1,Francophone West Africa,0.0,,11/21/2018,pi2,Richard Akresh
PAPSE RA proposal to WB,World Bank,Grant Proposal,PAPSE,11/21/2018,0,1,Francophone West Africa,0.0,,11/21/2018,pi3,Rebecca Thornton
MIT-20-20057: K-CAI PES Lacandona (Mexico),Massachusetts Institute of Technology (MIT),Grant Award,PES Lacandona Mexico,10/20/2020,1,1,Mexico,0.0,Allocation,6/21/2021,pi1,Seema Jayachandran
MIT-20-20057: K-CAI PES Lacandona (Mexico),Massachusetts Institute of Technology (MIT),Grant Award,PES Lacandona Mexico,10/20/2020,1,1,Mexico,0.0,Allocation,6/21/2021,pi2,Santiago Saavedra Pineda
MIT-20-20057: K-CAI PES Lacandona (Mexico),Massachusetts Institute of Technology (MIT),Grant Award,PES Lacandona Mexico,10/20/2020,1,1,Mexico,0.0,Allocation,6/21/2021,pi3,Santiago Izquierdo Tort
OSF-18-10001 - Safer Remittances for Migrants in Colombia and PGR Soft Skills in Mexico (Colombia and Mexico),Open Society Foundations,Grant Award,PGR Soft Skills and Recidivism,6/21/2018,1,1,Mexico,0.0,Allocation,11/7/2018,pi2,Laura Chioda
OSF-18-10001 - Safer Remittances for Migrants in Colombia and PGR Soft Skills in Mexico (Colombia and Mexico),Open Society Foundations,Grant Award,PGR Soft Skills and Recidivism,6/21/2018,1,1,Mexico,0.0,Allocation,11/7/2018,pi3,Paul Gertler
J-PAL SPI PNG labor mobility pilot,Massachusetts Institute of Technology (MIT),Grant Proposal,PNG Labor Mobility,12/1/2023,0,1,Philippines,0.0,Allocation,12/1/2023,pi1,Dean Yang
J-PAL SPI PNG labor mobility pilot,Massachusetts Institute of Technology (MIT),Grant Proposal,PNG Labor Mobility,12/1/2023,0,1,Philippines,0.0,Allocation,12/1/2023,pi2,Ryan Edwards
CNHF-24-10005: Two-Generation and Integration,Conrad N. Hilton Foundation,Grant Award,PPT to Visa,8/16/2024,1,1,Colombia,0.0,Allocation,12/16/2024,pi1,Andrés Ham
