Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
WEL5527 - Long term follow up survey on Youth Opportunity Program NUSAF-YOP (Uganda),Wellspring Philanthropic Fund,Grant Award,NUSAF-YOP - Youth Opportunity Program - 8 year follow-up,4/17/2015,1,1,Uganda,0.0,,7/28/2015,pi2,Mathilde Emeriau
WEL5527 - Long term follow up survey on Youth Opportunity Program NUSAF-YOP (Uganda),Wellspring Philanthropic Fund,Grant Award,NUSAF-YOP - Youth Opportunity Program - 8 year follow-up,4/17/2015,1,1,Uganda,0.0,,7/28/2015,pi3,Sebastian Martinez
WEL5527 - Long term follow up survey on Youth Opportunity Program NUSAF-YOP (Uganda),Wellspring Philanthropic Fund,Grant Award,NUSAF-YOP - Youth Opportunity Program - 8 year follow-up,4/17/2015,1,1,Uganda,0.0,,7/28/2015,pi4,Nathan Fiala
NWU-20-10008 - COVID-19 Bridge Funding (Multiple Countries),Northwestern University,Grant Award,NWU COVID-19 Bridge Funding Bangladesh,4/1/2020,1,1,Bangladesh,0.0,,4/10/2020,pi1,Dean Karlan
NWU-20-10008 - COVID-19 Bridge Funding (Multiple Countries),Northwestern University,Grant Award,NWU COVID-19 Bridge Funding Dominican Republic,4/1/2020,1,1,LAC-Other,0.0,,4/10/2020,pi1,Sean Higgins
NWU-20-10008 - COVID-19 Bridge Funding (Multiple Countries),Northwestern University,Grant Award,NWU COVID-19 Bridge Funding Multiple Countries,4/1/2020,1,1,,0.0,,4/10/2020,pi1,Steven Glazerman
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,NYU-Praxis (India),9/1/2020,1,1,,1.0,External Subaward,9/1/2020,pi1,Meredith Dank
IGC-19-20010: NCDDP Evaluation Part II (Myanmar),International Growth Centre (IGC),Grant Award,National CDD Project in Myanmar,7/31/2019,1,1,Myanmar,0.0,,9/10/2019,pi1,Erica Field
WBK6943 Phone-administered Surveys for Text Message Intervention (Zambia),World Bank,Grant Award,Natsave messaging,8/22/2017,1,1,Zambia,0.0,,4/3/2018,pi1,Syon Bhanot
WBK6943 Phone-administered Surveys for Text Message Intervention (Zambia),World Bank,Grant Award,Natsave messaging,8/22/2017,1,1,Zambia,0.0,,4/3/2018,pi2,Michael King
IDB-21-10031: BID Costa Rica Agriculture (Peru),Inter-American Development Bank (IDB),Grant Award,Natural Science and Environmental Secondary Education Costa Rica,4/30/2021,1,1,LAC-Other,0.0,Allocation,7/1/2021,pi1,Emma Ingrid Naslund-Hadley
IDB-21-10031: BID Costa Rica Agriculture (Peru),Inter-American Development Bank (IDB),Grant Award,Natural Science and Environmental Secondary Education Costa Rica,4/30/2021,1,1,LAC-Other,0.0,Allocation,7/1/2021,pi2,Juan Manuel Hernández-Agramonte
WBK3862 Endline Survey of Networks and Employees,World Bank,Grant Award,Network Effects in SME Clusters (SNE),9/16/2014,1,1,Uganda,0.0,,10/24/2014,pi1,Mattea Stein
WBK3862 Endline Survey of Networks and Employees,World Bank,Grant Award,Network Effects in SME Clusters (SNE),9/16/2014,1,1,Uganda,0.0,,10/24/2014,pi2,Antoinette Schoar
