Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
Sudanese Refugee Project in N. Uganda (SUB),Danish Refugee Council (DRC),Grant Proposal,Sudanese Refugee Project in N Uganda,,12/27/2016,0,1,Uganda,0.0,,12/27/2016,,,,,,,,,,,,,
WBK3368 The Jobs Agenda in Burkina Faso/ Survey Date Collection,World Bank,Grant Award,Value Chain Survey,Michael Weber,4/21/2017,1,1,Francophone West Africa,0.0,,5/16/2017,,,,,,,,,,,,,
Global Fund's Prospective Country Evaluation (2017-2022 / Uganda) [Sub-Grant],Euro Health Group A/S,Grant Proposal,Global Fund prospective evaluation 2017-2020,Jessie Pinchoff,12/12/2016,0,1,Uganda,0.0,,12/13/2016,,,,,,,,,,,,,
Cedil_Community Policing and Public trust; An experiment from Uganda,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,Community Policing Project Uganda,Guy Grossman,5/8/2019,0,1,Uganda,0.0,,5/8/2019,Robert Blair,Benjamin Kachero,,,,,,,,,,,
New Proposal for Improving Early Childhood Education Quality in Rural Dispersed Areas of Colombia,Massachusetts Institute of Technology (MIT),Grant Proposal,Improving Early Childhood Education Quality in Rural Dispersed Areas of Colombia,Costas Meghir,12/29/2016,0,1,Colombia,0.0,,12/31/2016,Orazio Attanasio,,,,,,,,,,,,
WEL6018 Strengthening the evidence base for IPV prevention (includes subcontract to IRC),Wellspring Philanthropic Fund,Grant Award,Modern Man Challenge,,5/17/2016,1,1,Sierra Leone,0.0,,8/19/2016,Jeannie Annan,"Gunther Fink 
PhD Christopher Boyer",,,,,,,,,,,
New Proposal for FMO Cacao Farmer Evaluation,Netherlands Development Finance Company,Grant Proposal,FMO Cacao Farmer Evaluation,,1/13/2017,0,1,Philippines,0.0,,1/13/2017,Giorgia Barboni,Anca Balietti,,,,,,,,,,,
MIT0016 Politician Entry and Selection in Sierra Leone,Massachusetts Institute of Technology (MIT),Grant Award,Sierra Leone Elections 2018,Rachel Glennerster,3/10/2017,1,1,Sierra Leone,0.0,,7/7/2017,Katherine Casey,Niccolo Francesco Meriggi,,,,,,,,,,,
New Proposal for Calling Women to Public Service,Center for Effective Global Action (CEGA),Grant Proposal,Calling Women to Public Service,Nico Ravanilla,2/15/2017,0,1,Philippines,0.0,,2/21/2017,Ronald Mendoza,Cesi Cruz,,,,,,,,,,,
New Proposal for Action against FGM in Burkina Faso (SUBCONTRACT),Bocconi University,Grant Proposal,Action against FGM in Burkina Faso,Eliana La Ferrara,1/26/2017,0,1,Francophone West Africa,0.0,,1/26/2017,,,,,,,,,,,,,
UNO Effectiveness Bangladesh,United Nations Development Program (UNDP),Grant Proposal,UNO Effectiveness Bangladesh,Paula Lopez-Pena,9/1/2017,0,1,Bangladesh,0.0,,6/4/2017,Mushfiq Mobarak,Jaya Wen,,,,,,,,,,,
EAF-19-10002: Combos of Medellin 2019 (Colombia),EAFIT,Grant Award,Criminal Governance (CG),Christopher Blattman,1/17/2019,1,1,Colombia,0.0,,6/18/2019,Santiago Tobon,Gustavo Duncan,Benjamin Lessing,,,,,,,,,,
IGC9404 Strengthening state capacity in health (Sierra Leone),International Growth Centre (IGC),Grant Award,ANC Bracelets,Anne Karing,3/18/2016,1,1,Sierra Leone,0.0,,11/11/2016,,,,,,,,,,,,,
EUE0001 EU Strengthening the resilience of vulnerable communities in northern areas in BK (Consortium) (Burkina Faso),Delegation of the European Union in Burkina Faso,Grant Award,Nutrition insecurity - Emergency Trust Fund,Adrien Bouguen,3/12/2018,1,1,Francophone West Africa,0.0,,7/6/2018,Andrew Dillon,,,,,,,,,,,,
UCB9564 Digital credit for farmers in Ghana,"University of California, Berkeley",Grant Award,Paytime with Farmerline,Christopher Udry,9/15/2017,1,1,Ghana,0.0,,8/15/2018,"Monica Lambon-Quayefio 
PhD Utsav Manjeer",,,,,,,,,,,,
UCC0001 - UCSC for Market Linkages (Tanzania),"University of California, Santa Cruz",Grant Award,Market Linkages II,Jonathan Robinson,2/13/2017,1,1,Tanzania,0.0,,9/29/2017,Alan Spearot,"Shilpa Aggarwal 
PhD Dahyeon Jeong",,,,,,,,,,,
Increasing Firm Compliance Through Participatory Regulation Making,Center for Effective Global Action (CEGA),Grant Proposal,Opening Doors,,2/21/2017,0,1,Myanmar,0.0,,2/21/2017,Markus Taussig,,,,,,,,,,,,
WB Social Assistance Surveys,World Bank,Grant Proposal,WB Social Assistance Surveys,,2/15/2017,0,1,Bangladesh,0.0,,2/15/2017,,,,,,,,,,,,,
IZA-20-10006: G2LM Remittances and Coping with COVID-19 (Philippines),Institute for the Study of Labor (IZA),Grant Award,Labeled Remittances,Dean Yang,5/1/2020,1,1,Philippines,0.0,,9/1/2020,"Giuseppe De Arcangelis 
PhD Obeid Ur Rehman",,,,,,,,,,,,
Ethnic Networks Evaluation in Uganda,Center for Effective Global Action (CEGA),Grant Proposal,Ethnic Networks,Jennifer Larson,2/20/2017,0,1,Uganda,0.0,,2/21/2017,Janet Lewis,,,,,,,,,,,,
J-PAL GI E-filing Bangladesh,Massachusetts Institute of Technology (MIT),Grant Proposal,E-filing Bangladesh,Martin Mattsson,3/10/2017,0,1,Bangladesh,0.0,,3/10/2017,,,,,,,,,,,,,
WCS0001 We Care Solar's solar suitcase program evaluation,We Care Solar,Grant Award,We Care Solar evaluation - Uganda,Jessica Cohen,3/5/2017,1,1,Uganda,0.0,Allocation,8/23/2017,Peter Waiswa,Jessie Pinchoff,Slawa Rokicki,,,,,,,,,,
DIME Global Agriculture and Security Program Impact Evaluation,World Bank,Grant Proposal,Smallholders Agriculture Productivity Enhancement Project (SAPEC),,2/27/2017,0,1,Sierra Leone,0.0,,2/27/2017,,,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Incentivizing Mobile Money as a Financial Savings Instrument among Young Women,Philip Roessler,4/9/2015,1,1,Tanzania,0.0,Internal Subaward,6/4/2015,Joe Price,Daniel Nielson,"Flora Myamba 
PhD Peter Carroll",,,,,,,,,,
HAR0007 Transparency for Development Endline (Tanzania),Harvard University,Grant Award,Transparency for Development Community Maternal and Neonatal Health in Tanzania,Archon Fung,6/22/2017,1,1,Tanzania,0.0,,2/21/2018,Dan Levy,"Stephen Kosack 
PhD Akshay Dixit",,,,,,,,,,,
Belief-based Targeting in Village Networks for Decreasing Malnutrition,United States Agency for International Development (USAID),Grant Proposal,The role of information for take-up and usage of preventive health care,Guilherme Lichand,6/23/2017,0,1,Malawi,0.0,,6/23/2017,,,,,,,,,,,,,
UZH-18-10001 - Time Preferences and Patience (Malawi),University of Zurich,Grant Award,Time Preferences and Patience,Guilherme Lichand,2/21/2018,1,1,Malawi,0.0,,2/21/2018,,,,,,,,,,,,,
"IFP-18-10001 - CA incentives, Ghana",International Food Policy Research Institute (IFPRI),Grant Award,Conservation Agriculture Ghana,Alan de Brauw,12/11/2018,1,1,Ghana,0.0,,12/12/2018,Kate Ambler,Mike Murphy,,,,,,,,,,,
DMI-19-20002 - ENFANCE - GCC for Early Childhood Development Campaign in Cote d?Ivoire,Development Media International (DMI),Grant Award,Enfance,Bastien Michel,1/15/2019,1,1,Francophone West Africa,0.0,,9/24/2019,,,,,,,,,,,,,
RFP Data Must Speak,United Nations Children's Fund (UNICEF),Grant Proposal,Data Must Speak,,10/11/2017,0,1,Zambia,0.0,,10/11/2017,,,,,,,,,,,,,
Financial Inclusion as a Mechanism for Building Resilience among Households Vulnerable to the Impacts of Climate Change,African Development Bank,Grant Proposal,Africa Climate Change Fund,,8/13/2017,0,1,Zambia,0.0,,8/29/2017,,,,,,,,,,,,,
GN ScaleUp Proposal to IGI,Massachusetts Institute of Technology (MIT),Grant Proposal,Girls Negotiation Replication (Policy / TA),Nava Ashraf,9/20/2019,0,1,Zambia,0.0,,9/20/2019,Bryce Millett Steinberg,Natalie Bau,Corinne Low,,,,,,,,,,
Malawian Smallholder - Pilot,UTZ,Grant Proposal,Socio-Economic Data for Malawian Smallholder,Lasse Brune,8/21/2017,0,1,Malawi,0.0,,8/21/2017,Jason Kerwin,Eric Chyn,,,,,,,,,,,
"CWM0002 Mobile Phone Ownership, Women?s Empowerment and Civic Engagement on Land Rights (Tanzania)",The College of William and Mary,Grant Award,Mobile Technology and Civic Engagement,Philip Roessler,10/30/2017,1,1,Tanzania,0.0,,2/21/2018,,,,,,,,,,,,,
NOR3002 - Impact Evaluation of a Radio Communication Experiment (Uganda),NORC at the University of Chicago,Grant Award,Evaluating a Radio Communication Experiment,James Habyarimana,8/22/2017,1,1,Uganda,0.0,Allocation,10/6/2017,Stuti Khemani,,,,,,,,,,,,
New Proposal for Outcome Evaluation of the Village Enterprise DIB (Uganda and Kenya),Instiglio,Grant Proposal,Outcome Evaluation of the Village Enterprise DIB (Uganda),Doug Parkerson,8/14/2017,0,1,Uganda,0.0,,8/17/2017,Lasse Brune,,,,,,,,,,,,
AMI0001 Evaluating a Management Intervention in East Africa Subaward #1 Argidius (Kenya),African Management Institute,Grant Award,Evaluating a Management Intervention in East Africa,Tavneet Suri,10/2/2017,1,1,Kenya,0.0,Allocation,4/13/2018,John van Reenen,,,,,,,,,,,,
mTika_Childhood Immunization in Bangladesh,National Institutes of Health (NIH),Grant Proposal,mTika_Childhood Immunization in Bangladesh,Reshmaan Hussam,8/31/2017,0,1,Bangladesh,0.0,,9/3/2017,,,,,,,,,,,,,
BBOXX Energy credit,Center for Effective Global Action (CEGA),Grant Proposal,BBOXX Energy credit,Megan Lang,9/15/2017,0,1,Rwanda,0.0,,9/15/2017,Jeremy Magruder,,,,,,,,,,,,
Uganda Mob Justice application for J-PAL C&V Initiative,Massachusetts Institute of Technology (MIT),Grant Proposal,Mob justice in Owino market,Donald Green,9/15/2017,0,1,Uganda,0.0,,9/15/2017,"Anna Maria Wilke 
PhD Jasper Cooper",,,,,,,,,,,,
BBVAB-18-20002 - Supplemental Support to the Mo' Kash Digital Credit Study (Uganda),"Banco Bilbao Vizcaya Argentaria, S.A.",Grant Award,Mo-Kash Evaluation,Alfredo Burlando,7/31/2018,1,1,Uganda,0.0,,7/31/2018,Silvia Prina,Jessica Goldberg,,,,,,,,,,,
CEGA DCO Proposal for Digital Credit Study with Lineru in Colombia,"University of California, Berkeley",Grant Proposal,Digital Credit Study with Lineru in Colombia,Jonathan Zinman,9/15/2017,0,1,Colombia,0.0,,9/15/2017,Joshua Kim,Hunt Allcott,Dmitry Taubinsky,,,,,,,,,,
Reducing Default and Improving Resilience on Digital Credit (Kenya),"University of California, Berkeley",Grant Proposal,REDUCING DEFAULT AND IMPROVING RESILIENCE ON DIGITAL CREDIT,Tavneet Suri,9/15/2017,1,1,Kenya,0.0,,9/15/2017,,,,,,,,,,,,,
GI Proposal for SECOP II,Massachusetts Institute of Technology (MIT),Grant Proposal,The Efficiency and Transparency Effects of E-Procurement Adoption,,3/16/2018,0,1,Colombia,0.0,,3/16/2018,PhD Natalia Garbiras,,,,,,,,,,,,
The Impact of Transparency and Monitoring on Distributive Politics,Massachusetts Institute of Technology (MIT),Grant Proposal,Mzalendo,Fredrik M Sjoberg,9/15/2017,0,1,Kenya,0.0,,9/15/2017,Peter John,Leonard Wantchekon,,,,,,,,,,,
SLWM Household Midline Survey,World Bank,Grant Proposal,Midline for SLWMP,,4/30/2018,0,1,Ghana,0.0,,4/30/2018,,,,,,,,,,,,,
Microfinance-Plus Impact Evaluation,Opportunity International (OI),Grant Proposal,Microfinance Plus,Nathan Fiala,1/25/2018,0,1,Ghana,0.0,,12/8/2019,,,,,,,,,,,,,
IGC9320 The Role of Mobile-Based Trade Credit on Business Development (Kenya),International Growth Centre (IGC),Grant Award,The Role of Mobile-Based Trade Credit on Business Development,Tavneet Suri,3/23/2018,1,1,Kenya,0.0,,8/6/2018,Antoinette Schoar,,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Nigeria Herder Farmer Dialogues,Oeindrila Dube,9/28/2015,1,1,Nigeria,0.0,Internal Subaward,4/9/2018,Soeren Henn,James Robinson,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Countering Violent Extremism in Burkina Faso,William Nomikos,9/28/2015,1,1,Francophone West Africa,0.0,Internal Subaward,4/9/2018,Niloufer Siddiqui,Allison Grossman,,,,,,,,,,,
Eduqmais Follow Up 2020,University of Zurich,Grant Proposal,Eduq+,Sharon Wolf,11/30/2018,0,1,Francophone West Africa,0.0,,11/30/2018,,,,,,,,,,,,,
UK-DFID Trust Fund Call for Proposals Building the evidence on protracted forced displacement,World Bank,Grant Proposal,Microenterprise Support to Assimilate Refugees in Uganda,Thomas Ginn,12/31/2018,0,1,Uganda,1.0,,12/31/2018,,,,,,,,,,,,,
OXU-19-10001: Exploring & Strategizing Factory Best Practices (Bangladesh),Oxford University,Grant Award,Small N Exploring & Strategizing Factory Best Practices,Christopher Woodruff,1/24/2019,1,1,Bangladesh,0.0,,5/2/2019,,,,,,,,,,,,,
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,Harounan Kazianga,6/25/2018,0,1,Francophone West Africa,0.0,,6/26/2018,Eugénie Maïga,Andrew Dillon,,,,,,,,,,,
PAPSE RA proposal to WB,World Bank,Grant Proposal,PAPSE,Bastien Michel,11/21/2018,0,1,Francophone West Africa,0.0,,11/21/2018,Richard Akresh,Rebecca Thornton,,,,,,,,,,,
PBED-18-10001: PBEd STEP UP Monitoring Survey (Philippines),Philippine Business for Education,Grant Award,PBEd STEP UP Monitoring Survey,,3/31/2018,1,1,Philippines,0.0,,10/24/2018,,,,,,,,,,,,,
ELM-19-10001: Full Phase 1 ECD M&E Support in Uganda (Uganda),The ELMA Philanthropies,Grant Award,ECD M&E in Uganda,,11/20/2018,1,1,Uganda,0.0,Allocation,1/7/2019,,,,,,,,,,,,,
Campylobacter spp. Transmission Dynamics in Low- and Middle-Income Countries,Gates Foundation,Grant Proposal,Assess the transmission pathways of Campylobacter infection in children under 5,Amy Pickering,4/24/2018,0,1,Kenya,0.0,,4/20/2018,,,,,,,,,,,,,
IGL0001 - Independent Verifier of Community Health Results-based Financing (Uganda),Instiglio,Grant Award,Independent Verifier of Community Health Results-based Financing,,3/14/2018,1,1,Uganda,0.0,Allocation,5/19/2018,,,,,,,,,,,,,
Accelerating Climate Action: Social Equity and Empowerment of Women and Girls,International Development Research Centre (IDRC),Grant Proposal,Portfolios of the Vulnerable,Matthew Bird,4/23/2018,0,1,Colombia,0.0,,4/23/2018,Luisa Feline Freier,Ayesha Siddiqi,,,,,,,,,,,
Cross border small trader survey in West Africa,World Bank,Grant Proposal,Cross border small trader survey in West Africa,David Atkin,9/20/2018,0,1,Francophone West Africa,0.0,,9/20/2018,Jenny Aker,Eugénie Maïga,,,,,,,,,,,
IGL 6th call: Fasbagré (Burkina Faso),Nesta,Grant Proposal,FASBagré,Michael Grimm,10/8/2018,0,1,Francophone West Africa,0.0,,10/29/2018,Sidiki Soubeiga,Michael Weber,,,,,,,,,,,
"BMG7989 Financial Inclusion Tracker Uganda, Tanzania, Pakistan",Gates Foundation,Grant Award,The Role of the Internet in Economic and Financial Lives Especially of Women,Tavneet Suri,9/11/2015,1,1,Kenya,0.0,,11/13/2015,,,,,,,,,,,,,
Full study land project # 1264966,World Bank,Grant Proposal,Land intervention,Alexandra Hartman,12/24/2019,0,1,Francophone West Africa,0.0,,12/27/2019,Aletheia Donald,Eliana La Ferrara,Markus Goldstein,Joao Montalvao,Michael O?Sullivan,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Pre-pilot of the CEGAP's $1 Smartphone Project,Jessica Goldberg,4/9/2015,1,1,Bangladesh,0.0,Internal Subaward,6/4/2015,Lore Vandewalle,,,,,,,,,,,,
Save the Children proposal,Save the Children International (SCI),Grant Proposal,Schools for Change,Todd Pugatch,6/1/2018,0,1,Rwanda,0.0,,5/16/2018,,,,,,,,,,,,,
IGC-18-20002: Quality Upgrading in Myanmar's Rice Sector (Myanmar),International Growth Centre (IGC),Grant Award,Quality Upgrading in Myanmar's Rice Sector,Rocco Macchiavello,10/30/2018,1,1,Myanmar,0.0,,6/10/2019,Meredith Startz,David Atkin,Amit Khandelwal,,,,,,,,,,
NSF Proposal for Income Volatility & Psychological wellbeing,National Science Foundation (NSF),Grant Proposal,Income Volatility & Psychological wellbeing,Heather Schofield,3/18/2018,0,1,Ghana,0.0,,5/14/2018,Leandro Carvalho,Vincent Somville,Damien de Walque,,,,,,,,,,
"BOS-19-10002 NIH R01 YRI Spillover study, Sierra Leone",Boston College,Grant Award,Youth FORWARD - Diffusion/Spillover,Alethea Desrosiers,4/1/2018,1,1,Sierra Leone,0.0,,7/26/2019,Theresa Betancourt,Agha Ali Akram,,,,,,,,,,,
New Proposal for Early Child Development in Southern Province,United States Agency for International Development (USAID),Grant Proposal,Early Child Development in Southern Province,Peter C Rockers,5/11/2018,0,1,Zambia,0.0,,5/11/2018,Gunther Fink,Nancy Scott,,,,,,,,,,,
FSDZ-18-10001: Comic Relief-FIT Project (Zambia),Zambian Financial Sector Deepening Limited (FSD Zambia),Grant Award,FIT - Financial inclusion through traditional leaders,Dean Karlan,9/12/2018,1,1,Zambia,0.0,Allocation,3/25/2019,Bilal Zia,Alfredo Burlando,Jessica Goldberg,,,,,,,,,,
New Proposal for Philippines National Health Expenditure Survey,Palladium International Limited,Grant Proposal,Philippines National Health Expenditure Survey,,5/23/2018,0,1,Philippines,0.0,,5/23/2018,,,,,,,,,,,,,
VIT0002 Vitol Foundation strategy & M&E advisory,Vitol Foundation,Grant Award,Vitol Foundation strategy & M&E advisory,,5/28/2018,1,1,United States,0.0,,7/3/2018,,,,,,,,,,,,,
UPGP Follow up Survey with BRAC & BIGD,Institute for the Study of Labor (IZA),Grant Proposal,Testing new BRAC TUP Model,Mushfiq Mobarak,11/11/2019,0,1,Bangladesh,0.0,,11/11/2019,Nathanael Goldberg,Dean Karlan,Christopher Udry,Jessica Goldberg,,,,,,,,,
Dubai Cares Proposal for DepEd Inclusive Programs,Dubai Cares,Grant Proposal,DepEd Inclusive Programs,,8/3/2018,0,1,Philippines,0.0,,8/3/2018,,,,,,,,,,,,,
SIEF Nimble Evaluation Proposal for Strategic Purchasing and Community-Health Agents (Myanmar),World Bank,Grant Proposal,Strategic Purchasing and Community-Health Agents,Paul Gertler,5/30/2018,0,1,Myanmar,0.0,,5/30/2018,,,,,,,,,,,,,
Oxford University Funds,Oxford University,Grant Proposal,Governance Education,Robin Harding,5/17/2018,0,1,Ghana,0.0,,5/24/2018,,,,,,,,,,,,,
UCB-19-20008 Weiss-Hungry Seasons (Zambia),"University of California, Berkeley",Grant Award,Hungry Seasons in Zambia,Supreet Kaur,11/30/2018,1,1,Zambia,0.0,,1/2/2020,Ned Augenblick,Kelsey Jack,Nicholas Swanson,,,,,,,,,,
OSF-18-10001 - Safer Remittances for Migrants in Colombia and PGR Soft Skills in Mexico (Colombia and Mexico),Open Society Foundations,Grant Award,PGR Soft Skills and Recidivism,,6/21/2018,1,1,Mexico,0.0,Allocation,11/7/2018,Laura Chioda,Paul Gertler,,,,,,,,,,,
SA Stichting-20-10001 - Sint Antonius for Growth Charts (Zambia),SAS-P Philanthropy,Grant Award,Growth charts scale-up (ZamCharts),Gunther Fink,5/31/2019,1,1,Zambia,0.0,Allocation,1/17/2020,Doug Parkerson,Peter C Rockers,,,,,,,,,,,
BBOXX energy credits Weiss proposal,"University of California, Berkeley",Grant Proposal,BBOXX Energy experiments,Megan Lang,10/2/2019,0,1,Rwanda,0.0,,10/2/2019,Jeremy Magruder,,,,,,,,,,,,
UCB-18-10000 Cash out DIL (Rwanda),"University of California, Berkeley",Grant Award,Mobile Money Cash Out,Jonathan Robinson,8/31/2018,1,1,Rwanda,0.0,,2/27/2020,Shilpa Aggarwal,Susan Godlonton,,,,,,,,,,,
NIH Exploratory/Developmental Research Grant Award (R21) Earth Enable RCT,"University of California, Berkeley",Grant Proposal,EarthEnable RCT,Joshua Gruber,10/16/2019,0,1,Uganda,0.0,,10/16/2019,Paul Gertler,,,,,,,,,,,,
APO0003: AportaLab - Early Childhood Development (Peru),Aporta Desarrollo Sostenible,Grant Award,AportaLab - Early Childhood Development,Orazio Attanasio,2/5/2018,1,1,Peru,0.0,,9/6/2018,,,,,,,,,,,,,
New Proposal for Child labor in the drug market in Peru,United States Department of Labor,Grant Proposal,Child labor in the drug market in Peru,Christopher Neilson,6/4/2018,0,1,Peru,0.0,,6/4/2018,,,,,,,,,,,,,
New Proposal for Assessment of Kindergarten Services,UNICEF Philippines,Grant Proposal,Assessment of Kindergarten Services,,6/22/2018,0,1,Philippines,0.0,,6/22/2018,,,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Mystery Shopping - Uganda,Xavier Gine,4/9/2015,1,1,Uganda,0.0,Internal Subaward,6/4/2015,Rebecca Rouse,Joeri Smits,,,,,,,,,,,
Providing the optimal coaching scheme for the adoption of the best teaching practices,World Bank,Grant Proposal,Providing the optimal coaching scheme for the adoption of the best teaching prac,Olga Namen,5/30/2018,0,1,Colombia,0.0,,5/30/2018,,,,,,,,,,,,,
Right-fit monitoring and evaluation system for school principals,World Bank,Grant Proposal,Right-fit monitoring and evaluation system for school principals,Olga Namen,5/30/2018,0,1,Colombia,0.0,,5/30/2018,,,,,,,,,,,,,
Does parental monitoring increase take-up of a school dropout prevention program?,World Bank,Grant Proposal,Does parental monitoring increase take-up of a school dropout prevention program,Olga Namen,5/30/2018,0,1,Colombia,0.0,,5/30/2018,,,,,,,,,,,,,
WBK-20-20036: Impact Evaluation of Nimble Messaging to Improve Early Child Development in Ecuador,World Bank,Grant Award,Early Childhood Development in Ecuador (ECDE),Megan Rounseville,5/30/2018,1,1,Colombia,0.0,Allocation,2/12/2020,,,,,,,,,,,,,
IGC1422: eMutation Land (Bangladesh),International Growth Centre (IGC),Grant Award,eMutation_Land_Bangladesh,Martin Mattsson,3/15/2018,1,1,Bangladesh,0.0,,2/4/2019,,,,,,,,,,,,,
HAR-19-10002: SolShare Bangladesh (Bangladesh),Harvard University,Grant Award,SolShare Bangladesh,Namrata Kala,2/18/2019,1,1,Bangladesh,0.0,,10/25/2019,,,,,,,,,,,,,
Research on Improving Systems of Education (RISE) Baseline 2018,Georgetown University,Grant Proposal,RISE Baseline,,5/4/2018,0,1,Tanzania,0.0,,5/4/2018,,,,,,,,,,,,,
GCF LORTA Stage 1,Green Climate Fund (UNFCCC),Grant Proposal,GCF LORTA Stage 1,,6/18/2018,0,1,,0.0,,6/18/2018,,,,,,,,,,,,,
MRC LSHTM Grant Application,Medical Research Council,Grant Proposal,LSHTM-LSE Clinic Study,Mylene Lagarde,6/4/2018,0,1,Tanzania,0.0,,6/4/2018,Timothy Powell-Jackson,,,,,,,,,,,,
The Unique and Combined Impacts of school-based and caregiver SEL programs in an emergency context,INEE,Grant Proposal,Dandelion,Elizabeth Beasley,8/3/2018,0,1,Tanzania,0.0,,8/3/2018,Rachel Steinacher,,,,,,,,,,,,
IRC-20-10003 MRC-LSHTM-IRC-IPA Preventing Violence Against Children,International Rescue Committee (IRC),Grant Award,Preventing Violence Against Children,Karen Devries,9/18/2018,1,1,Tanzania,0.0,,2/27/2020,Katherine Rodrigues,"Rachel Steinacher 
PhD Camilla Fabbri",,,,,,,,,,,
IRC0003 IRC-IPA Research and Learning Hub (Tanzania),International Rescue Committee (IRC),Grant Award,IRC-IPA Research and Learning Hub,Elizabeth Beasley,12/10/2018,1,1,Tanzania,0.0,,12/10/2018,Rachel Steinacher,Karen Devries,,,,,,,,,,,
Proposal for MCC Threshold Program,Mathematica Policy Research,Grant Proposal,MCC Threshold Program,,6/15/2018,0,1,Sierra Leone,0.0,,6/15/2018,,,,,,,,,,,,,
"UNI-19-10004 UNICEF for Child Marriage Violence Against Children and FGM, Burkina Faso",United Nations Children's Fund (UNICEF),Grant Award,Child Marriage Violence Against Children and FGM,Lucia Corno,5/17/2019,1,1,Francophone West Africa,0.0,Allocation,8/28/2019,Selim Gulesci,,,,,,,,,,,,
Research Technical Assistance Center (RTAC),Mathematica Policy Research,Grant Proposal,RTAC Project,,3/9/2018,0,1,,0.0,,3/8/2018,,,,,,,,,,,,,
Monitoring and Evaluation Technical Support Services and Training (METST),Mathematica Policy Research,Grant Proposal,METST,,6/15/2018,0,1,,0.0,,6/15/2018,,,,,,,,,,,,,
New Proposal for Gender norms change and gender based violence,ODI (formerly Overseas Development Institute),Grant Proposal,Gender norms change and gender based violence,,6/28/2018,0,1,Peru,0.0,,6/28/2018,,,,,,,,,,,,,
Stanford University Proposal for Pitfalls and Promises of Transparency and Accountability in the Health Sector,Stanford University,Grant Proposal,Pitfalls and Promises of Transparency and Accountability in the Health Sector,Marie Christine Apedo-Amah,8/28/2018,0,1,Francophone West Africa,0.0,,8/13/2018,Pascaline Dupas,,,,,,,,,,,,
Knowledge Challenge,Ewing Marion Kauffman Foundation,Grant Proposal,Kauffman Knowledge Challenge Project,,7/2/2018,0,1,,0.0,,5/9/2018,,,,,,,,,,,,,
Stanford Professor Funds,Stanford University,Grant Proposal,Palm Oil Scoping,Casey Maue,3/14/2018,0,1,Ghana,0.0,,3/14/2018,,,,,,,,,,,,,
UMI-18-10001: Financial planning Obeid Rehman (Philippines),University of Michigan,Grant Award,Intra household communication,Obeid Ur Rehman,6/22/2018,1,1,Philippines,0.0,,10/17/2018,,,,,,,,,,,,,
Coffee value chain,International Growth Centre (IGC),Grant Proposal,Coffee value chain,,7/12/2018,0,1,Uganda,0.0,,7/12/2018,Lauren Falcao Bergquist,,,,,,,,,,,,
Proposal for P2 Kinyarwanda Instructioal Time Study (Rwanda),Room to Read,Grant Proposal,P2 Kinyarwanda Instructioal Time Study,,7/12/2018,0,1,Rwanda,0.0,,7/12/2018,,,,,,,,,,,,,
TUF-19-10001 Role of environmental surveillance in monitoring the impact of soil-transmitted helminth control programs,Tufts University,Grant Award,The role of environmental surveillance in monitoring the impact of soil-transmit,Amy Pickering,7/17/2018,1,1,Kenya,0.0,,1/9/2019,,,,,,,,,,,,,
New Proposal for At-Risk Youth in Conflict-Affected Areas Project,Massachusetts Institute of Technology (MIT),Grant Proposal,At-Risk Youth in Conflict-Affected Areas Project,,3/22/2019,0,1,Philippines,0.0,,3/22/2019,,,,,,,,,,,,,
PEDL Major Research Grant - Loans Uganda,Private Enterprise Development for Low-Income Countries (PEDL),Grant Proposal,Information and business growth,,8/31/2018,0,1,Uganda,0.0,,8/31/2018,,,,,,,,,,,,,
R01 with UPenn,University of Pennsylvania,Grant Proposal,Prize-linked Savings,Ellen Moscoe,7/31/2019,0,1,Kenya,0.0,,7/31/2019,Kawango Agot,Harsha Thirumurthy,,,,,,,,,,,
MSU0003 Marketplace for Nutritious Foods Program Evaluation (Kenya),Michigan State University,Grant Award,GAIN - Marketplace for Nutritious Foods Program Evaluation,Eduardo Nakasone,4/19/2018,1,1,Kenya,0.0,Allocation,1/7/2019,Maria Porter,David Tschirley,Vincenzina Caputo,David Ortega,Andrew D. Jones,Mywish Maredia,,,,,,,
