Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
WEL4986 SME Initiative: Renewal,Wellspring Philanthropic Fund,Grant Award,Credit Report Information Sharing Project (CRISP),Sindy Li,2/28/2014,1,1,Kenya,0.0,,6/24/2014,,,,,,,,,,,,,
ZCA0001 ZCAHRD - Saving Brains - Improving Early Childhood Devt in Zambia,Zambia Centre for Applied Health Research and Development (ZCAHRD),Grant Award,ZCAHRD - Saving Brains,Davidson Hamer,6/16/2015,1,1,Zambia,0.0,,7/10/2015,Gunther Fink,Peter C Rockers,Arianna Zanolini,,,,,,,,,,
WBK5139 Data collection/listing activity of CHPS zones & surrounding areas in N. Ghana,World Bank,Grant Award,CHPS Project,Kazumi Inden,3/24/2015,1,1,Ghana,0.0,,5/8/2015,Edit V. Velenyi,Damien de Walque,,,,,,,,,,,
WBK5444: Financial Literacy through SACCOs (Rwanda),World Bank,Grant Award,Financial Literacy through SACCOs,Bilal Zia,4/15/2015,1,1,Rwanda,0.0,,6/2/2015,,,,,,,,,,,,,
Learning & Time Consistency: Implications for Long Term Policy Interventions to Promote Microdosing (sub grant),Massachusetts Institute of Technology (MIT),Grant Proposal,Learning & Time Consistency- Implications for Policy Interventions (Microdosing),Andrew Dillon,1/23/2015,0,1,Francophone West Africa,0.0,,1/23/2015,,,,,,,,,,,,,
3IE1028 Enhancing access to weather index agricultural insurance in Burkina Faso - A new marketing approach.,International Initiative for Impact Evaluation (3ie),Grant Award,Enhancing access to index-based weather agricultural insurance in Burkina Faso,Harounan Kazianga,7/15/2016,1,1,Francophone West Africa,0.0,,7/17/2016,Zaki Wahhaj,Christelle Flore,,,,,,,,,,,
Impact Evaluation of PSI?s Urban-toilet Franchise model in Liberia (sub-grant),World Bank,Grant Proposal,Urban-toilet Franchise model,Paul Gertler,8/15/2014,0,1,Sierra Leone,0.0,,8/15/2014,Joshua Gruber,,,,,,,,,,,,
CEBP Proposal for Agriculture Microloans,Coalition for Evidence-Based Policy,Grant Proposal,Agriculture Microloans,Dean Karlan,2/14/2014,0,1,,0.0,,3/19/2014,Kelly Bidwell,Nathaniel Higgins,Jonathan Zinman,Donald Green,,,,,,,,,
CEBP Proposal for BoLT - Encore,Coalition for Evidence-Based Policy,Grant Proposal,BoLT - Encore,Jonathan Zinman,2/14/2014,0,1,,0.0,,3/19/2014,,,,,,,,,,,,,
Duke Global Health Institute Pilot Research - Myanmar,Duke University,Grant Proposal,Maternal Cash Transfer Myanmar,Erica Field,9/17/2018,0,1,Myanmar,0.0,,9/17/2018,PhD Elisa Maffioli,,,,,,,,,,,,
LDP7034: Pilot for Small Claims Court (Uganda),Law and Development Partnership,Grant Award,Small Claims Court,Tavneet Suri,2/23/2015,1,1,Uganda,0.0,,6/22/2015,Suleiman Asman,,,,,,,,,,,,
WEL5527 - Long term follow up survey on Youth Opportunity Program NUSAF-YOP (Uganda),Wellspring Philanthropic Fund,Grant Award,NUSAF-YOP - Youth Opportunity Program - 8 year follow-up,Christopher Blattman,4/17/2015,1,1,Uganda,0.0,,7/28/2015,Mathilde Emeriau,Sebastian Martinez,Nathan Fiala,,,,,,,,,,
Koe Koe Tech Gates Foundation proposal,Gates Foundation,Grant Proposal,KoeKoeTech SME and Customer App,,4/16/2015,0,1,Myanmar,0.0,,4/17/2015,Russell Toth,,,,,,,,,,,,
"Impacts of a Streamlined Health Clinic Management Information System on Clinic Performance, Organization, and Outcomes",International Growth Centre (IGC),Grant Proposal,Digital Health Records Myanmar,Russell Toth,7/15/2018,0,1,Myanmar,0.0,,8/4/2018,Julia Driessen,,,,,,,,,,,,
PPE Labor Demand Philippines,Massachusetts Institute of Technology (MIT),Grant Proposal,Labor Demand Philippines,Caroline Theoharides,5/2/2016,0,1,Philippines,0.0,,5/2/2016,Emily Beam,Joshua Hyman,,,,,,,,,,,
"DIV_1M Community Health Workers in Ashanti, Ghana (sub grant)",Earth Institute at Columbia University,Grant Proposal,CHW project - Ghana,Amir Jina,6/30/2015,0,1,Ghana,0.0,,7/3/2015,,,,,,,,,,,,,
